#汉字	近音同调	近音异调
一		
乙		
丁	祯增厅诊贞真针桢斟缯臻珍听砧憎榛侦甄汀曾箴	诊缜怎挺赠赈疹震霆梃振亭廷阵婷蜓枕鸩朕艇听娠镇停庭
兀	裕瘉滪御域吁妪驭喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于
刃	让	扔瓤嚷攘仍禳壤
勺	熟	叟锁娑守寿受琐绶嗽索飕嗾搜售嗦馊蒐缫搔蓑嫂狩所骚收手兽簑瘦梭授艘首缩薮莎唆扫擞
千	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建硷睑茧饯鉴鉴涧贱捡拣俭荐
叉	搽擦	
口	搞搅缟槁狗枸拷考烤杲稿苟	雊构够搆高皋枸诰篙羔诟犒膏购告媾糕铐沟钩勾靠垢遘睪句
土	赌堵睹笃肚	髑杜渎蠹椟读犊黩度镀嘟渡肚都督妒牍毒独
士	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
夕	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己借鸡矶乩积几绩期屐机楫瘠嵇迹蹟基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲勣稽吃亟跻籍岌叽济戟饥
大	泰漯汰獭遢太遝榻态踏蹋塌挞跶	薹他台塔牠抬它跆胎台台苔台她塌
女	努弩铝卤鲁掳卤吕橹缕褛膂旅娄侣屡虏履	绿律胪鑪鲈麓戮颅炉奴噜怒闾鹭滤录穋禄赂率芦路卢榈露鹿僇碌氯驽驴陆庐虑泸
子	芷征止纸趾祇只指祉旨咫址	雉帜秩止蛭志芷氏脂值址肢执祇峙祉枝治支制质纸之祗志芝姪稚窒植织梔咫泜痣智致胝滞汁吱致置摭痔挚至制轾踯踬蜘直掷识知征只炙只趾指职卮旨殖
孑	携协邪斜挟伽谐偕鞋撷茄颉胁勰	蟹切惬骇懈妾窃燮蠍楔洩血绁邂榭歇屉解洩写屑怯些卸械且泻谢亵契挈锲
孓	瘸穴学	穴雪薛靴确雀阙恪怯削却缺阕鹊壳榷血噱
寸	冲怆创闯	冲冲虫虫窗春匆撞淙床从鹑崇疮闯囪舂淳创醇葱充枞蠢宠纯唇憧重脣抢幢丛聪
小	朽姣皎纠玖侥角灸九较勦饺酒狡脚缴铰搅韭宿赳绞久剿矫	溴啾袖修娇厩揪鸠醮羞蕉究旧浇秀舅跤轿疚鲛脩胶宿蛟嗅觉教救姣骄窖就纠焦詨交椒咻岫柩礁较臼咎锈郊校叫臭休绣嚼
尢	瘟温晕氲塭	员玟刎耘文闻孕吻熨陨愠芸云韵雯运纹紊蚊筠昀晕酝抆蕴汶纭允匀问云稳免
尸	撕司厮丝斯鸶私思嘶	赐祀泗肆兕食饲巳嗣伺耜似寺驷姒俟思死四
山	三参	伞散糁
川		爨窜篡
工	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐綑棍困控
己	起鳃杞乞启玺徙洗喜岂稽绮	歧烯嬉耆惜祺细析祁祇祈枝漆迄夕锡歙锜气曦悉熹旗犀汐萋麒蜥稀希欺崎汽奇熙柒矽企牺悽潟契系席憩奚熄砌七僖携琪齐琦蓆膝棋骑妻溪弃碛系期器媳栖讫息慼蟋羲蹊昔褶淅淇其愒禧系行翕凄戏隙吸习脐畦晰鳍兮圻岐衹厘譆谿亟唏晞嘻西泣戚缉袭檄
已		
巳	拭恃式轼适是饰柿奭氏士使视螫弑市示试豉仕噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶
巾	枪青泾枪心粳馨芯精羌倾镶浆厢缰訢茎兴新亲莘疆惺乡星呛经氢香顷抢昕清欣惊江锌睛襄锵姜腔蜻更兢鲭侵晶旌钦僵京湘鲸卿荆菁轻薪嵚瓖辛姜腥箱将猩相	邢竟墙颈靖信彊祥芯降秦静情倾刑磬橡噙巷沁省陉琴奖酱芹醒饷兴庆响幸竞亲形匠幸乡讲呛揿象璟桨顷抢想项硎径境景详罄擎劲警蔷擒行翔禽径繈享檠型晴绛樯性井像痉勤净向寝镜庠蒋憬杏敬戕寻衅阱悻姓飨请将相向强
干	戡看勘刊堪	侃坎看槛瞰勘砍崁
廾	辊鲧捆倥孔恐綑滚梱衮	倥琨焜崆锟昆空硿困髡棍困坤控昆
弋		
弓	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐綑棍困控
才	柴侪豺	钗拆差
丑	草吵炒	潮嘈巢朝勦糙操超抄晁凑辏槽钞嘲剿漕曹
丐	咳愒忾慨	恺开剀楷揩凯慨岂
不		
中	粽肫纵圳樽鬃俊棕屯谆踪尊综遵宗从	傯准总肫粽纵圳鬃樽俊棕屯谆踪尊综遵准宗从撙
丰	棻氛吩纷分芬亨哼	恒痕分汾恨很份狠坟粪焚奋桁忿愤衡横粉
丹	贪坍探滩摊瘫	昙毯覃炭袒痰潭坛弹叹碳叹谭谈探檀坦坛
之	淄锱缁赀咨兹姿孳孜资辎滋谘龇玆髭吱	仔訾字恣紫滓籽渍子孳梓自
尹	养景郢仰颖鞅氧影痒	缨佯疡洋樱映飏杨羊央秧应萦鹰漾恙硬蝇炀烊养迎扬营膺婴嬴昜楹旸阳莹钖罂鸯莺怏徉赢鹦盈英样鞅萤泱殃荧瑛嘤璎茔瀛
予	武鹉五毋伍妩唔鼯巫侮吾怃亡舞诬捂无梧吴蜈芜午	武污鹉晤骛巫侮吾悟坞亡误诬务无吴午五乌毋伍寤戊恶呜鼯唔妩于物勿怃雾屋舞兀圬钨捂軏污梧芜蜈垩
云	文亡闻佣王雯纹玟蚊	佣雍蓊涌刎佣嗡文惘甬蛹网瘟用温忘望鄘永慵紊甕妄邕问俑枉稳恿往拥踊翁魍勇王闻臃吻罔咏涌尢塭泳旺庸抆汶汪辋壅免
井	醒馑紧仅寝尽觐谨瑾省顷请锦	青邢信心烬馨芯秦筋情倾刑缙磬噙沁进陉琴訢芹巾兴庆新幸亲噤津尽莘形觐幸惺斤星揿氢顷近硎昕今清欣锌罄矜擎劲蜻襟擒行禽筋鲭侵檠型晴钦性尽金晋勤卿禁仅轻薪嵚杏浸辛寻衅悻姓腥猩
互	富腹馥覆赙附副傅复付复赴妇咐父阜赋负驸讣	氟缚匐肤鈇俯府腑夫腐頫蝠绋扶甫幅芾孚弗辐绂福袱浮伏符菔釜敷拂涪抚怫斧孵莆趺辅彿服父麸脯芙伕俘
五	雨语与龉宇庾敔噢圉禹予屿羽圄	瘉滪域妤娱瘀驭狱逾峪昱燠褕蝓竽雩渝觎预渔迂语于与纡煜欲芋育余余俞欤堉郁豫毓虞裕盂御隅吁妪榆喻愚鱼玉欲誉禺熨舆愈寓愈愉谕御谷郁淤腴臾遇谀圩聿尉瑜予萸浴于
亢	艮亘杠	垦艮龈肯根跟缸纲冈港啃岗釭肛扛恳杠钢刚
仁	瓤攘仍禳	扔嚷让攘壤
什		赐泗肆厮鸶饲巳伺嗣撕似耜丝色思死四涩祀司圾兕私食塞穑瑟啬寺驷斯俟姒嘶
仃	听厅汀	廷霆婷听蜓挺梃停亭艇庭
仆		
仇	潮嘈巢樵朝憔晁谯瞧槽嘲乔侨漕桥曹翘嚼	啾巧雀跷皎娇厩揪鹊鸠钞灸窍醮蕉峭九究旧浇饺俏撬舅跤轿狡诮鲛疚橇胶搅韭赳蛟久觉教鞘救悄姣骄窖操超玖纠就侥焦詨角愀辏壳交椒吵柩礁较臼勦敲糙咎酒郊脚抄缴铰草凑锹校绞叫矫剿炒翘
仍	仁壬人儿任	刃衽妊纫稔仞忍轫任荏韧认饪赁
今	枪青泾枪心粳馨芯精羌倾镶浆厢缰訢茎兴新亲莘疆惺乡星呛经氢香顷抢昕清欣惊江锌睛襄锵姜腔蜻更兢鲭侵晶旌钦僵京湘鲸卿荆菁轻薪嵚瓖辛姜腥箱将猩相	邢竟墙颈靖信彊祥芯降秦静情倾刑磬橡噙巷沁省陉琴奖酱芹醒饷兴庆响幸竞亲形匠幸乡讲呛揿象璟桨顷抢想项硎径境景详罄擎劲警蔷擒行翔禽径繈享檠型晴绛樯性井像痉勤净向寝镜庠蒋憬杏敬戕寻衅阱悻姓飨请将相向强
介	蟹切惬骇懈妾窃燮楔洩绁榭邂屉解洩屑怯械卸泻亵谢契挈锲	携协歇切写邪斜些且挟谐伽蠍鞋偕撷颉茄血勰胁
仄	浙这蔗鹧宅	遮慑谪赭者辙哲蜇折着摘折辄螫褶
元	玩丸完汍顽	惋弯湾莞碗蜿腕挽万宛玩輓晚皖绾豌剜娩婉
允	往拥踊魍蓊涌勇刎惘甬蛹臃吻网罔咏涌泳永俑枉辋稳壅恿	拥佣雍翁玟佣嗡文亡闻王臃瘟用温尢塭忘鄘望雯慵纹紊蚊旺甕妄庸抆汶汪邕问壅免
内	累擂类泪	累擂垒嫘漯缧蕾磊镭儡耒羸雷勒
六	尿廖燎拗料了	寮缭聊潦扭寥撩疗妞辽僚嘹燎了暸钮鸟纽牛忸了嬝袅
兮	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹勣稽蹟基跻叽居饥	洎棘疾暨忌祭集脊己骑借芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥
公	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐綑棍困控
冗		闰润
凶	燻钧龟军勋君薰均醺勳	汛浔巡炯窘隽徇郡峻濬迥潠浚驯询璿骏巽蕈殉循俊迅训逊讯寻荀洵旬竣菌
分	疯峰讽丰丰凤行沆枫锋烽芳坊风亨俸哼横放恨奉方缝蜂枋封	疯吭峰妨恒倣航丰讽舫逢仿很丰凤冯纺行沆枫锋杭桁烽访芳坊风亨俸房哼横放痕恨肪奉狠方缝蜂防枋仿封衡
切	阶芥皆解街嗟戒揭疥偕界借诫结借接介届	捷阶芥拮皆桔街截诘节杰揭桀疥借诫孑颉接碣姊劫栉解嗟羯讦竭戒睫偕界撷结洁借姐杰介届
刈		
匀	文亡闻佣王雯纹玟蚊	佣雍蓊涌刎佣嗡文惘甬蛹网瘟用温忘望鄘永慵紊甕妄邕问俑枉稳恿往拥踊翁魍勇王闻臃吻罔咏涌尢塭泳旺庸抆汶汪辋壅免
勾	篙睪羔糕高皋膏	告缟扣槁寇铐考烤杲稿靠搞诰佝釦搅叩犒拷口
勿	裕瘉滪御域吁妪驭喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于
化		
匹		
午	雨语与龉宇庾敔噢圉禹予屿羽圄	瘉滪域妤娱瘀驭狱逾峪昱燠褕蝓竽雩渝觎预渔迂语于与纡煜欲芋育余余俞欤堉郁豫毓虞裕盂御隅吁妪榆喻愚鱼玉欲誉禺熨舆愈寓愈愉谕御谷郁淤腴臾遇谀圩聿尉瑜予萸浴于
升	砷信申僧莘伸呻娠深身森参绅	哂审甚渗沈肾蜃沁婶脤神慎沈
卅	霎厦煞	杀傻砂杉鲨莎裟纱煞沙
卞		
厄		
友	窈夭咬舀杳	要哟淆耀夭崤谣瑶侥钥尧摇洮邀吆鹞榣腰乐肴姚幺遥肴窑药拗妖曜爻
及	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
反	罕喊	憾悍旱颌含函韩汉和榦汗颔涵銲翰撼蚶捍鼾瀚寒酣焊
壬	瓤攘仍禳	扔嚷让攘壤
天	滇巅颠癫	奠甸店点碘典靛玷佃惦电钿淀殿垫
夫	壶胡鹄蝴胡湖葫囫弧斛惚瑚乎戏呼糊忽狐	瓠壶胡蝴鹄琥许斛惚唬戏呼户沪沍楛护狐互胡湖囫葫扈虎弧瑚乎忽糊
太	迨黛大贷怠逮岱待玳带殆代戴袋	逮待歹呆
夭	牖有幽黝莠友酉攸悠优忧	游黝由牖邮友疣莠又尤优忧幼幽犹猷攸游鼬诱悠宥油右柚祐铀有侑酉囿佑鱿釉
孔	共辊矿鲧汞廾滚梱衮巩捆綑拱	共工琨锟蚣困躬功棍弓釭龚公攻宫红焜昆恭肱髡困坤供贡昆
少	叟守狩寿受绶嗽手兽瘦嗾授售首薮扫擞嫂	叟守寿受绶嗽嗾飕搜售馊蒐缫搔嫂熟狩收骚手兽瘦授艘首薮扫擞
尤	洮淆崤谣榣瑶侥肴姚遥肴窑尧摇爻	邀要哟耀夭咬吆鹞杳舀腰乐窈幺钥药妖拗曜
尺	此	辞赐疵次祠雌词差伺茨厕瓷刺慈磁
屯	铜桐盅僮装鬃樽棕潼踪中遵宗瞳同峒忠钟衷纵彤终忪妆桩尊钟童综庄	钝蹲傯仲栋粽惇恸状冬洞筒墩撞沌懂塚撙囤众总董桶纵顿恫俊炖通吨综踵东鼕壮湩中动统从痛塚圳遁胴趸冻肿奘盾重敦盹咚种
巴		
幻		
廿	炼恋殓潋敛练炼链楝	帘莲联帘鲢濂连奁涟怜镰廉脸
吊	頫眺覜跳	挑条佻丢调迢蜩窕
引	养景郢仰颖鞅氧影痒	缨佯疡洋樱映飏杨羊央秧应萦鹰漾恙硬蝇炀烊养迎扬营膺婴嬴昜楹旸阳莹钖罂鸯莺怏徉赢鹦盈英样鞅萤泱殃荧瑛嘤璎茔瀛
心	泾粳馨精筋浆镶厢缰巾茎兴津惺乡疆斤星经香今惊江睛矜襄姜更襟筋兢晶旌僵京金湘鲸禁荆菁浸瓖姜腥猩将箱相	邢竟颈靖彊祥烬降静刑缙谨橡巷省陉进奖酱醒饷兴响幸竞噤尽形匠觐幸乡讲象璟桨锦近想项硎径境景详劲警行翔径瑾享型绛性尽井馑晋像痉紧净向仅禁镜庠蒋憬浸杏敬阱悻姓飨将相向强
戈	轲稞棵磕柯科窠刻苛蚵颗瞌蝌	嗑课客恪溘坷渴克髁可咳喀壳缂克刻
户	富腹馥覆赙附副傅复付复赴妇咐父阜赋负驸讣	氟缚匐肤鈇俯府腑夫腐頫蝠绋扶甫幅芾孚弗辐绂福袱浮伏符菔釜敷拂涪抚怫斧孵莆趺辅彿服父麸脯芙伕俘
手	叟薮扫擞少嫂嗾	芍骚哨烧嗽少杓飕韶召艘搜勺邵馊绍蒐缫捎扫搔稍梢
扎	扎杂咱偺砸匝	扎杂咱偺砸匝
支	淄锱缁赀咨兹姿孳孜资辎滋谘龇玆髭吱	仔訾字恣紫滓籽渍子孳梓自
文	佣员佣耘亡孕王熨用愠芸忘云韵望运筠旺甕昀妄晕酝蕴纭匀云	员佣雍蓊涌佣耘嗡惘甬蛹网用愠芸忘韵望鄘永慵筠甕昀妄晕酝氲纭邕俑枉云恿往拥踊翁魍勇亡王孕臃熨罔陨咏涌尢云泳运旺庸蕴允汪匀辋壅
斗	讨导岛倒捣祷	刀涛萄焘韬桃偷头梼淘盗洮滔透逃稻啕悼到絛导叨陶套掏倒蹈饕投道
斤	枪青泾枪心粳馨芯精羌倾镶浆厢缰訢茎兴新亲莘疆惺乡星呛经氢香顷抢昕清欣惊江锌睛襄锵姜腔蜻更兢鲭侵晶旌钦僵京湘鲸卿荆菁轻薪嵚瓖辛姜腥箱将猩相	邢竟墙颈靖信彊祥芯降秦静情倾刑磬橡噙巷沁省陉琴奖酱芹醒饷兴庆响幸竞亲形匠幸乡讲呛揿象璟桨顷抢想项硎径境景详罄擎劲警蔷擒行翔禽径繈享檠型晴绛樯性井像痉勤净向寝镜庠蒋憬杏敬戕寻衅阱悻姓飨请将相向强
方	棻氛吩纷分芬	吭痕航分汾恨很份坟狠粪焚奋行沆杭桁忿愤粉
日		
曰		
月		
木		
欠	件槛剑健僭见舰渐毽谏溅践监箭间闲荐腱建键饯鉴鉴涧贱荐	笺缣兼奸鞯渐歼奸囝艰柬检简溅减笕监间肩尖湔剪硷睑茧坚菅缄捡拣俭煎
止	仔訾紫滓籽子梓	恣淄渍锱缁赀咨兹字子姿孳资孜辎滋谘龇玆髭自吱
歹		泰薹台抬汰跆胎台台太苔台态
毋	盂妤隅娱榆愚鱼逾禺舆愉褕蝓竽雩渝觎腴渔臾于谀圩余余瑜俞予欤萸于虞	瘉滪域瘀宇驭狱峪昱燠雨预迂语纡与煜龉欲噢芋育俞堉郁豫羽毓裕御吁妪敔喻玉欲圉誉禺禹熨屿愈寓愈谕圄御谷郁淤遇庾聿尉予浴
比		
毛	眸缪牟谋	某
氏	赐淄泗肆锱饲咨兹巳嗣伺耜似姿资孜谘玆龇四吱祀缁兕赀食孳寺驷俟姒辎滋髭	仔訾恣紫籽滓司渍厮鸶私梓字撕子孳丝斯思嘶死自
水	髓	谇穗邃随隋隧绥遂碎岁睢燧祟虽
火		
爪	澡帚走藻肘早蚤枣	皂鄹胄轴遭妯周骤绉造粥宙灶凿周燥噪邹糟奏冑纣陬揍舟昼譟咒啁籀皱躁洲州
父	瓠唬互户琥沪楛沍护扈许虎	瓠壶胡蝴鹄琥许斛惚唬戏呼户沪沍楛护狐互胡湖囫葫虎扈弧瑚乎忽糊
爻	铀游邮犹猷疣游尤油鱿由	幼幽黝攸鼬诱悠宥右柚牖祐有侑莠友又酉囿佑优忧釉
片		
牙		
牛	留刘寮缭泵琉聊浏潦流寥撩疗瘤辽僚嘹燎遛硫榴	尿廖柳撩料溜霤铆馏燎了暸陆鸟六了袅嬝
犬	卷捲	倦卷隽捐捲镌眷娟圈绢身涓鹃狷
王	员玟耘文闻孕熨愠芸云韵雯纹运筠蚊紊昀晕酝抆蕴汶纭匀问云免	员玟刎耘文孕闻吻瘟熨陨温愠芸塭云韵雯纹运筠蚊紊昀晕抆酝氲蕴汶纭允匀问云稳免
丙		缤彬濒殡豳傧滨膑槟鬓宾
世	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
丕		
且	姊解姐	捷芥阶拮皆桔截街诘节杰桀揭疥借诫孑颉接碣劫栉解嗟羯讦竭戒睫界偕撷结洁借杰介届
丘	教啾跷姣骄纠娇焦詨揪鸠椒交蕉礁浇跤敲撬郊鲛胶橇锹蛟	巧雀跷皎厩鹊灸窍醮峭九究旧俏饺舅撬轿狡诮疚搅韭瞧赳久觉桥教樵鞘救憔悄姣窖玖纠就侥角愀壳乔柩较臼勦咎酒脚缴谯铰校绞叫侨矫剿翘嚼
主	诅祖俎组阻	卒租足族嗾
乍		扎杂咱偺砸匝
乏	蛤	哈
乎	孵趺麸肤鈇敷伕夫	氟缚匐馥覆附俯复夫頫蝠绋扶甫芾幅绂袱赙傅付拂涪抚斧赴莆彿服脯赋芙俘讣富府腑腐阜孚弗辐福浮腹伏符菔副复釜怫妇辅咐父负驸
以		
付	瓠互户沪楛沍护扈	壶胡鹄蝴胡琥湖葫囫弧虎许斛瑚惚唬乎戏呼糊忽狐
仔	止祇祉咫芷征纸只趾指旨窄址	雉秩帜蛭斋齐祭宅志氏脂债值肢执祇峙枝治支制质祗之芝志姪稚窒植织梔泜痣摘智致胝翟滞汁吱致置寨痔摭至挚制轾踯踬蜘直掷识知只炙只责职卮殖
仕	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
他	瘩答搭褡跶	瘩答大打达鞑靼怛
仗	阵枕鸩脏葬朕赈震藏娠奘镇振	祯脏枕诊贞缜真怎针桢斟疹臻赃珍臧砧臜侦榛甄箴
代	泰汰态太	薹台苔抬台跆胎台台
令	吝佞躏蔺泞赁	柠咛霖痳麟鳞您狞凝林凛邻燐淋宁磷拧懔辚遴临琳璘
仙	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建硷睑茧饯鉴鉴涧贱捡拣俭荐
仞	让	扔瓤嚷攘仍禳壤
充	葱皴匆枞村囪从春聪	鹑吋忖淳寸醇蠢唇纯淙脣从存丛
兄	燻钧龟军勋君薰均醺勳	汛浔巡炯窘隽徇郡峻濬迥潠浚驯询璿骏巽蕈殉循俊迅训逊讯寻荀洵旬竣菌
冉		
册	坼撤彻掣澈辙	车扯
冬	蹲通吞墩恫敦惇	钝铜桐僮恸豚潼屯筒臀统沌饨瞳同褪囤峒桶彤痛顿遁炖趸吨童盾盹
凹	瓯欧区鸥殴呕	偶藕耦呕噢
出	粗	镞趋错促卒槭蹴蹙簇醋趣
凸	髑渎椟苦读楛犊黩牍毒独	骷杜蠹堵窟睹笃酷哭赌度镀嘟库渡肚都裤枯督妒
刊	干竿疳坩甘柑尴杆干肝	橄淦干赣敢榦感稈杆赶
加	虾瞎	狎暇侠辖吓霞斜夏柙挟峡恰匣洽下卡狭黠遐厦呷瑕
功	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐綑棍困控
包		
匆	冲冲皴充憧村春舂	冲鹑吋崇虫虫忖淳寸醇蠢宠唇纯重脣存
北		
匝	查喳扎渣	扎闸栅搾扎砟诈咋乍搾眨炸札渣咤蚱
仟	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建硷睑茧饯鉴鉴涧贱捡拣俭荐
半		
卉		
卡	贾假夏钾甲胛	嘉架嘎颊家挟迦价尬贾荚袈夹嫁佳假加葭稼驾轧浃痂噶戛茄豭家
占	簮錾赞瓒暂赞	咱簮錾赞偺瓒暂赞
卯	某	眸缪牟谋
卮	淄锱缁赀咨兹姿孳孜资辎滋谘龇玆髭吱	仔訾字恣紫滓籽渍子孳梓自
